N°,Data,ID,Postagem,Emojis da Postagem,PRU/Não-PRU,Tipo,Analise de Sentimento,Artefato
722,Mon Apr 15 01:59:35 +0000 2019,1117608376010145792,Quero usar mais twitter gente olha a festa 😍🤠✨ {URL},😍(1)🤠(1)✨(1),Não-PRU,,,Twitter for iPhone
723,Mon Apr 15 01:11:43 +0000 2019,1117596327335034883,MEU TWITTER MAIS DOIDÃO QUE O PADRE DO BALÃO 🎈🎈🎈🎈 {URL},🎈(4),PRU,Crítica,Negativa,Twitter for Android
724,Mon Apr 15 00:58:24 +0000 2019,1117592979517116416,a todos os goteiros do meu twitterbom começo de última temporada procês❤️,❤(1),Não-PRU,,,Twitter for Android
725,Sun Apr 14 23:40:33 +0000 2019,1117573385993818112,"Estas fotos já passaram no meu Twitter mais de 100 vezes, fora de tangas 😂 {URL}",😂(1),Não-PRU,,,Twitter for Android
726,Sun Apr 14 22:56:46 +0000 2019,1117562366055583750,Baixei o twitter mais até eu me acostumar vai demora mds 🤔,🤔(1),PRU,Crítica,Negativa,Twitter for Android
727,Sun Apr 14 21:36:48 +0000 2019,1117542244951703555,"Ninguém agita nada, twitter mais parado que o meu não existe 🤔",🤔(1),Não-PRU,,,Twitter for Android
728,Sun Apr 14 21:00:20 +0000 2019,1117533066413654017,Meu Twitter Facebook e Instagram estão ruim travando horrores o de vcs tb? Ou será que o problema é o meu celular? 🤔,🤔(1),PRU,Crítica,Negativa,Twitter for iPhone
729,Sun Apr 14 14:48:53 +0000 2019,1117439588254007296,Hoje é o dia do Twitter ficar insuportável por causa de GOT 🤦🏻‍♀️🤦🏻‍♀️,🤦(2)♀(2),Não-PRU,,,Twitter for iPhone
730,Sun Apr 14 14:45:58 +0000 2019,1117438853806215169,#whatsappdown poxa twitter bem que vc poderia disponibilizar o dark mode pra android 😕,😕(1),PRU,Sugestão,Negativa,Twitter for Android
731,Sun Apr 14 14:39:50 +0000 2019,1117437311250325505,"{User} {User} {User} {User} é  um jumento de cigano que possui perfil no Twitter, mais enfeitado até... 😂",😂(1),Não-PRU,,,Twitter for Android
732,Sun Apr 14 14:04:48 +0000 2019,1117428495293067264,{User} {User} {User} {User} {User} {User} {User} {User} Bom dia 🙂,🙂(1),Não-PRU,,,Twitter for Android
733,Sun Apr 14 12:25:20 +0000 2019,1117403461879042053,Por isso q amo o twitter... #Facebook #zap #istagram Parou de novo...🤦🏻‍♀️ {URL},🤦(1)♀(1),PRU,Elogio,Positiva,Twitter for Android
734,Sun Apr 14 11:54:22 +0000 2019,1117395668224618498,{User} TWITTER MAIS UMA VEZ A NÃO DESILUDIR 😂,😂(1),Não-PRU,,,Twitter Web Client
735,Sun Apr 14 11:39:30 +0000 2019,1117391927350124547,"Acordar com 10K aqui no Twitter!!Bom dia, pessoal! Obrigado ❤️",❤(1),Não-PRU,,,Twitter for iPhone
736,Sun Apr 14 05:23:04 +0000 2019,1117297195487760384,{User} Eu passo mil dias sem entrar no Twitter mais eu sempre passo por aqui. É um fato adoro esse homem rsrs ♥️,♥(1),Não-PRU,,,Twitter for Android
737,Sun Apr 14 02:48:52 +0000 2019,1117258388352700417,"baixei hoje o twitter gente da uma força, segue aí 💙💙 #DomingoDetremuraSDV",💙(2),Não-PRU,,,Twitter for Android
738,Sun Apr 14 00:03:07 +0000 2019,1117216678142730242,Coloquei meu Twitter mais escuro que o normal e estou amando 😍,😍(1),PRU,Elogio,Positiva,Twitter for iPhone
739,Sat Apr 13 22:47:34 +0000 2019,1117197666948145154,"Estou oficialmente inaugurando meu Twitter. 🙂Diferente de plataformas como Facebook, focarei no Twitter mais como… {URL}",🙂(1),Não-PRU,,,Twitter Web Client
740,Sat Apr 13 19:23:02 +0000 2019,1117146192604028928,"Depois que eu conheci o Twitter, Facebook nunca Mas foi bom . 🤦🏾‍♂️😐🤣",🤦(1)♂(1)😐(1)🤣(1),PRU,Comparação,Positiva,Twitter for Android
741,Sat Apr 13 19:06:15 +0000 2019,1117141970684731392,{User} {User} {User} Mais um lugar pra te pertubar 😂😂😂😂😂,😂(5),Não-PRU,,,Twitter for Android
742,Sat Apr 13 18:08:38 +0000 2019,1117127469167980544,novinha safada postou no twitter mais tarde baile com as amigas 🎶,🎶(1),Não-PRU,,,Twitter for Android
743,Sat Apr 13 17:38:14 +0000 2019,1117119819575435264,Fiz o Twitter mais nao sei mecher 😂😂,😂(2),PRU,Dúvida,Neutra,Twitter for Android
744,Sat Apr 13 17:05:40 +0000 2019,1117111623016230913,Me bloqueia no Twitter mais sabe o q eu posto! 👍🏻👍🏻👏🏻,👍(2)👏(1),Não-PRU,,,Twitter for Android
745,Sat Apr 13 14:38:27 +0000 2019,1117074574309560322,"#snapchat👻 #addme #twitter #facebook #instagram #oilederic @ Colorado Springs, Colorado {URL}",👻(1),Não-PRU,,,Twitter for Device not cataloged
746,Sat Apr 13 14:34:55 +0000 2019,1117073685855313920,"{User} Bora seguir essa linda, que está começando no Twitter !!!Bem vinda, Isa !!!🌼",🌼(1),Não-PRU,,,Twitter for Android
747,Sat Apr 13 14:23:27 +0000 2019,1117070801155579904,{User} {User} {User} Bom dia Ilma Linda ❤️,❤(1),Não-PRU,,,Twitter for Android
748,Sat Apr 13 12:43:21 +0000 2019,1117045610241245184,"Bom dia povo,Bom dia twitter,Bom dia mundo...✨🍀",✨(1)🍀(1),Não-PRU,,,Twitter for Android
749,Sat Apr 13 11:05:00 +0000 2019,1117020857212104704,"¡Comunicate con {User}!Por 📞 5371-4600 En redes -Twitter, Facebook e  Instagram- nos encontras como… {URL}",📞(1),Não-PRU,,,Twitter for Device not cataloged
750,Sat Apr 13 09:42:35 +0000 2019,1117000119478562817,"Bom dia meus amores do Twitter, mais um dia que nasce, desejo a todos um sábado maravilhoso ❤️ coloque Deus na fren… {URL}",❤(1),Não-PRU,,,Twitter for iPhone
751,Sat Apr 13 09:32:58 +0000 2019,1116997697964314624,VAMOS FAZER O TWITTER FICAR RROOOXOO!!!!{User}#BoyWithLuv78M💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜… {URL},💜(50),Não-PRU,,,Twitter for Android
752,Sat Apr 13 03:07:30 +0000 2019,1116900692369793024,{User} Suas artes tem um total de 0 defeitos! ❤️ Não tinha visto ainda. Me marca nas tuas artes que daí vejo na no… {URL},❤(1),Não-PRU,,,Twitter for Android
753,Sat Apr 13 02:59:12 +0000 2019,1116898601454776321,"Twitter, face, insta, face, Twitter, insta, face 🔁🔁 nesse ciclo entediado faz 3 hrs",🔁(2),Não-PRU,,,Twitter for Android
754,Sat Apr 13 00:48:27 +0000 2019,1116865698083614721,Eu tenho o Twitter mais lindo do mundo e tudo que importa é a minha opinião♥️🌻 {URL},♥(1)🌻(1),Não-PRU,,,Twitter for Android
755,Sat Apr 13 00:09:57 +0000 2019,1116856010189299713,"To precisando de mais rede social, pq ficar nessa só de Twitter , Facebook, WhatsApp e Instagram 🔄 não tá rolando m… {URL}",🔄(1),Não-PRU,,,Twitter for iPhone
756,Sat Apr 13 00:02:32 +0000 2019,1116854144957067264,KKK já tô enjoando do twitter mais é a única coisa que tem pra fazer 😅,😅(1),PRU,Crítica,Neutra,Twitter for Android
757,Fri Apr 12 23:28:18 +0000 2019,1116845527482683393,{User} Achava que vc nem usava Twitter mais mlk 😂😂😂😂😂,😂(5),Não-PRU,,,Twitter for Android
758,Fri Apr 12 20:38:22 +0000 2019,1116802764821225472,"💫💙Sejam bem vindos ao Twitter mais Flop do mundooo💫💙→Assim,nesse Twitter não vou fazer sorteios,nem vendas,ok,tal… {URL}",💫(2)💙(2),Não-PRU,,,Twitter for Android
759,Fri Apr 12 20:37:51 +0000 2019,1116802634504134656,FUTSAL ⚽ | Comercial Futsal abre nova fase da Taça EPTV nesta segunda-feira🔶 Leia em {URL}🔶 Fo… {URL},⚽(1)🔶(2),Não-PRU,,,Twitter for Android
760,Fri Apr 12 19:14:45 +0000 2019,1116781719854755841,podem dar unf no outro twitter gente💘,💘(1),Não-PRU,,,Twitter for Android
761,Fri Apr 12 17:20:57 +0000 2019,1116753079452356608,MOTOVELOCIDADE 🏍🌪 | Guto Figueiredo busca lugar mais alto do pódio na segunda etapa do SuperBike🔶 Leia em… {URL},🏍(1)🌪(1)🔶(1),Não-PRU,,,Twitter for Android
762,Fri Apr 12 16:27:15 +0000 2019,1116739565866364928,"Twitter, facebook e página. Dá um confere lá 😉✌️🏾#NewProfilePic",😉(1)✌(1),Não-PRU,,,Twitter for Android
763,Fri Apr 12 15:30:42 +0000 2019,1116725334257360898,{User} 😞 em nem uso tanto o Twitter mais,😞(1),Não-PRU,,,Twitter for Android
764,Fri Apr 12 14:22:18 +0000 2019,1116708120892465152,"[📰] - A Dispatch atualizou o perfil do Twitter, Facebook e VLIVE com uma foto do Jimin!#BoyWithLuv {User} {URL}",📰(1),Não-PRU,,,Twitter for Android
765,Fri Apr 12 11:03:24 +0000 2019,1116658066546659333,"ninguém:twitter: dar beijo 💋👅💋 na testa 😳😳😶😌😌 é tão 💯💯 ""vou cuidar de ti"" 😩😩😩😱😱😱😍😍😍",💋(2)👅(1)😳(2)😶(1)😌(2)💯(2)😩(3)😱(3)😍(3),Não-PRU,,,Twitter for Android
766,Fri Apr 12 07:32:52 +0000 2019,1116605085637697537,Se eu não surtar no twitter mais o menos as 6:10 é porque eu vou estar no hospital e com o celular descarregado🤠,🤠(1),Não-PRU,,,Twitter for Android
767,Fri Apr 12 03:16:37 +0000 2019,1116540597005844480,"{User} Vou prestar atenção na parte dos clichês 🤔 Bicho, achei um saco a postura da sabrina nos primeiros episó… {URL}",🤔(1),Não-PRU,,,Twitter for iPhone
768,Fri Apr 12 02:43:27 +0000 2019,1116532252979101696,"Vou dormir, tenho que lembrar de entrar no twitter mais vezes kk😊",😊(1),Não-PRU,,,Twitter for Android
769,Fri Apr 12 01:50:31 +0000 2019,1116518929189548032,Sai do Facebook entrei no Twitter mais um gol kkk 🔴⚫,🔴(1)⚫(1),Não-PRU,,,Twitter for Android
770,Fri Apr 12 01:45:19 +0000 2019,1116517621661351939,FUTSAL ⚽ | Comercial Futsal Ribeirão estreia com goleada na Copa Ribeirão🔶 Leia em {URL}🔶 Foto… {URL},⚽(1)🔶(2),Não-PRU,,,Twitter for Android
771,Thu Apr 11 23:47:20 +0000 2019,1116487928002355201,{User} tem o nome de Twitter mais criativo do mundoooooo .... Chernogirl 😂😂,😂(2),Não-PRU,,,Twitter for iPhone
772,Thu Apr 11 23:25:28 +0000 2019,1116482428640595968,PORRA TWITTERgente de Chernobyl não 🤮 {URL},🤮(1),Não-PRU,,,Twitter for Android
773,Thu Apr 11 23:09:58 +0000 2019,1116478526989852672,{User} Kkkkk veeeei impossível um Twitter mais verídico kkkkkkkk {User} {User}  amo vcs❤️,❤(1),Não-PRU,,,Twitter for iPhone
774,Thu Apr 11 21:47:40 +0000 2019,1116457815562960901,"{User} Kkkkk mais gente , pode nem mudar a bio do twitter mais 😂",😂(1),PRU,Crítica,Negativa,Twitter for Android
775,Thu Apr 11 21:23:36 +0000 2019,1116451757863919616,"Horas Finais!FOCO MUITO FOCOEsqueçam Twitter, Facebook e InstagramFOCO NO GSHOW 📣💪Confiem Vai dar Certo!… {URL}",📣(1)💪(1),Não-PRU,,,Twitter for Android
776,Thu Apr 11 17:59:50 +0000 2019,1116400480333246464,achei um Twitter mais antigo ainda 🤪🤪,🤪(2),Não-PRU,,,Twitter for Android
777,Thu Apr 11 17:39:43 +0000 2019,1116395418064175105,"Morro de rir nesse país twitter gente, cada coisa hilária que leio 😂😂😂",😂(3),Não-PRU,,,Twitter Web Client
778,Thu Apr 11 15:17:19 +0000 2019,1116359579170942976,Era minha fã no twitter mais parou de ser kkkk — kkkkkk poxa 🤦🏽‍♀️ {URL},🤦(1)♀(1),Não-PRU,,,Twitter for Device not cataloged
779,Thu Apr 11 15:01:01 +0000 2019,1116355476608962560,"{User} Perfeita sua ideia em vir ao Twitter. Mais democrático que isso, impossível. 👏🏻❤️🇧🇷",👏(1)❤(1),Não-PRU,,,Twitter for iPhone
780,Thu Apr 11 13:06:06 +0000 2019,1116326557491109888,Porque é que não aderi ao twitter mais cedo? Gosto de vir aqui falar sozinha quando não tenho nada que fazer 😂,😂(1),Não-PRU,,,Twitter for iPhone
781,Thu Apr 11 12:51:13 +0000 2019,1116322812308881408,Estou tendo tempo nem para o Twitter mais 😓,😓(1),Não-PRU,,,Twitter for Android
782,Thu Apr 11 03:09:43 +0000 2019,1116176473554026497,Eu tentado fazer um tweet na barra de pesquisa socorro 😂😂😂😂 tô parecendo mãe mexendo em tecnologia 😂 Não lembro de… {URL},😂(5),Não-PRU,,,Twitter for Android
783,Thu Apr 11 02:54:29 +0000 2019,1116172639742066690,"Depois que inventaram Instagram, twitter, Facebook e wpp nada é mais escondido!!🤦🏾‍♀️",🤦(1)♀(1),Não-PRU,,,Twitter for Android
784,Thu Apr 11 02:00:31 +0000 2019,1116159057893761024,Sério não tenho ânimo p ficar no Instagram... twitter bem melhor 🤗🤗😅🙈,🤗(2)😅(1)🙈(1),PRU,Comparação,Positiva,Twitter for Android
785,Thu Apr 11 00:16:28 +0000 2019,1116132874900529152,{User} 🍁- twitter- facebook- lavoo,🍁(1),Não-PRU,,,Twitter for Android
786,Wed Apr 10 23:57:02 +0000 2019,1116127983910227969,Twitter bom é assim 🤤 {URL},🤤(1),PRU,Elogio,Positiva,Twitter for iPhone
787,Wed Apr 10 23:55:33 +0000 2019,1116127608683597825,Curti tudo o que eu posto aqui no Twitter mais não me segue.Pq será ? 🤔,🤔(1),Não-PRU,,,Twitter Web App
788,Wed Apr 10 23:49:33 +0000 2019,1116126100197969920,"{User} {User}  não foi pelo Twitter, mais ta valendo pelo Facebook né!☺☺👏👏 {URL}",☺(2)👏(2),Não-PRU,,,Twitter for Android
789,Wed Apr 10 22:51:17 +0000 2019,1116111437603201031,O twitter mais foda que li hoje! Direto na ferida... ⏬👏🏼👏🏼 {URL},⏬(1)👏(2),Não-PRU,,,Twitter for Android
790,Wed Apr 10 21:45:42 +0000 2019,1116094933805543424,É impressão minha ou só vejo aqui no Twitter gente encornada á pala das viagens de finalistas 😂😂😂,😂(3),Não-PRU,,,Twitter for Android
791,Wed Apr 10 21:10:11 +0000 2019,1116085992404942848,"Caralho eu tento movimentar essa porra dê Twitter mais esqueço, me ajuda aí povo 😥🙏🏻",😥(1)🙏(1),PRU,Dúvida,Neutra,Twitter for iPhone
792,Wed Apr 10 19:23:43 +0000 2019,1116059202445824000,Chama ai no twitter — Mais preciso saber quem é né 🤔 {URL},🤔(1),Não-PRU,,,Twitter for Device not cataloged
793,Wed Apr 10 19:15:01 +0000 2019,1116057012515811328,O Twitter bem que poderia atualizar 😉🤔😉 mandar áudio pq a gente quer digitar e as vezes bate uma preguiça 😅 depois ñ lembramos o que era 😑,😉(2)🤔(1)😅(1)😑(1),PRU,Sugestão,Positiva,Twitter for Android
794,Wed Apr 10 18:29:56 +0000 2019,1116045665514196992,"Cheguei em casa, olhei todos os storys, Twitter, Facebook, WhatsApp, Direct e etc...Tava No4G😭😭😭😭😭😭😭😭😭",😭(9),Não-PRU,,,Twitter for iPhone
795,Wed Apr 10 15:44:04 +0000 2019,1116003924807385089,{User} Não basta o Twitter ficar colocando gente na minha timeline que nem sigo? 😩😩😩,😩(3),PRU,Crítica,Negativa,Twitter for iPhone
796,Wed Apr 10 13:08:27 +0000 2019,1115964759906627586,Que saudade q eu estava do Twitter..Bom Dia 🌼,🌼(1),Não-PRU,,,Twitter for iPhone
797,Wed Apr 10 12:46:29 +0000 2019,1115959232325738498,"Bom dia sem tempo até pra entrar no meu Twitter mais aqui estou nada na vida é fácil,😶😶",😶(2),Não-PRU,,,Twitter for Android
798,Wed Apr 10 12:36:02 +0000 2019,1115956603302367232,"Eu faço muitas amizades pelo Twitter gente, amo essa rede social ❤️",❤(1),PRU,Elogio,Positiva,Twitter for iPhone
799,Wed Apr 10 12:10:13 +0000 2019,1115950107860533249,FUTSAL ⚽ | Comercial Futsal estreia nesta quinta na 2ª Copa Ribeirão🔶 Leia em {URL}🔶 Foto: Ren… {URL},⚽(1)🔶(2),Não-PRU,,,Twitter for Android
800,Wed Apr 10 11:44:00 +0000 2019,1115943508509175808,{User} {User} A mídia twitter Facebook YouTube está muito com frescura igual a ESQUERDA 👈🤣,👈(1)🤣(1),PRU,Crítica,Negativa,Twitter for Android
801,Wed Apr 10 11:10:59 +0000 2019,1115935202214391814,"{User} Siga Inspire-Se no Twitter, Facebook e Instagram! 😉😘❤️",😉(1)😘(1)❤(1),Não-PRU,,,Twitter for iPhone
802,Wed Apr 10 10:55:59 +0000 2019,1115931424979324928,Minhas gays amadas parem de dar biscoito pra qualquer um no Twitter.Bom dia 👽 {URL},👽(1),Não-PRU,,,Twitter for Android
803,Wed Apr 10 06:20:37 +0000 2019,1115862127456202752,Um tempo desse o Twitter ficar passando essas coisas😈🙈,😈(1)🙈(1),Não-PRU,,,Twitter for Android
804,Wed Apr 10 03:27:25 +0000 2019,1115818538495815680,"Depois que eu conheci o Twitter, Facebook nunca Mas foi bom . 🤦🏻‍♀️😐",🤦(1)♀(1)😐(1),PRU,Comparação,Positiva,Twitter Web App
805,Wed Apr 10 03:14:17 +0000 2019,1115815236144107521,"E quando vc descobre que tem outra conta no Twitter bem mais antiga que essa e só postava bobeira 😰 socorro Deus, c… {URL}",😰(1),Não-PRU,,,Twitter for Android
806,Tue Apr 09 23:21:39 +0000 2019,1115756689100349440,{User} Ganhou o prêmio de twitter mais desagradável do dia...mas já tentou procurar um médico? 🤔🥰,🤔(1),Não-PRU,,,Twitter Web Client
807,Tue Apr 09 22:24:17 +0000 2019,1115742254352748544,sim eu uso twitter facebook insta de grátis.. obg tim💗👍🏻,💗(1)👍(1),Não-PRU,,,Twitter for iPhone
808,Tue Apr 09 16:12:29 +0000 2019,1115648686518865920,"Eu tenho muita preguiça de mexer no twitter , mais eu amo ❤️",❤(1),PRU,Elogio,Positiva,Twitter for Android
809,Tue Apr 09 15:35:07 +0000 2019,1115639284554452993,{User} Mas olhe 🤔 A gente não pode sofrer nem no Twitter mais 🤦🏽‍♀️😅,🤔(1)🤦(1)♀(1)😅(1),Não-PRU,,,Twitter for Android
810,Tue Apr 09 13:03:39 +0000 2019,1115601163997421575,Tô adorando o Twitter bem dark 🖤,🖤(1),PRU,Elogio,Positiva,Twitter for iPhone
811,Tue Apr 09 12:53:35 +0000 2019,1115598634374950912,Twitter bom amigo para desabafar 🤗,🤗(1),Não-PRU,,,Twitter for Android
812,Tue Apr 09 12:28:59 +0000 2019,1115592443171237896,Ele curti minhas coisas no Twitter mais não responde no whats 👀,👀(1),Não-PRU,,,Twitter for iPhone
813,Tue Apr 09 12:16:48 +0000 2019,1115589377407819777,"Bom dia Twitter, bom dia {User} tem episódio novo no ar!▶️{URL}▶️{URL}… {URL}",▶(2),Não-PRU,,,Twitter Web Client
814,Tue Apr 09 09:26:10 +0000 2019,1115546434852532224,oi amigos do twitter.. bom dia😉😊😊😋😎😏👍👍🤙🤙🤗💚🤠🤠🤠💛💙,😉(1)😊(2)😋(1)😎(1)😏(1)👍(2)🤙(2)🤗(1)💚(1)🤠(3)💛(1)💙(1),Não-PRU,,,Twitter for Android
815,Tue Apr 09 08:09:44 +0000 2019,1115527201221423104,O Twitter bem que podia ter a opção de publicar áudios 😁,😁(1),PRU,Sugestão,Positiva,Twitter for Android
816,Tue Apr 09 05:31:49 +0000 2019,1115487457699606530,"Oi #twitter !! Gente, tinha esquecido desse trem aqui. #voltei 🙋🏻‍♀️ {URL}",🙋(1)♀(1),Não-PRU,,,Twitter for iPhone
817,Tue Apr 09 03:29:31 +0000 2019,1115456678869262337,Meu Twitter/Facebook vao completar 3 anos tudo pelo Flamengo ⚫🔴👊,⚫(1)🔴(1)👊(1),Não-PRU,,,Twitter for Android
818,Tue Apr 09 02:15:39 +0000 2019,1115438090963832832,"Não sei oq ta acontecendo nesse twitter ,mais de uns dias pra cá só ta aparecendo putaria nisso aqui 🤦🏼‍♀️",🤦(1)♀(1),Não-PRU,,,Twitter for Android
819,Tue Apr 09 01:02:41 +0000 2019,1115419730620354561,"eu tenho novos amigos no twitter gente, amo {User} ❤ {User} ❤",❤(2),Não-PRU,,,Twitter for Android
820,Tue Apr 09 00:47:06 +0000 2019,1115415806655987718,🚨ATENÇÃO 🚨TEMOS q agir foquem no gshow todos da gaiola estão votando em silêncio pra tirar a nossa Paulinha temos… {URL},🚨(2),Não-PRU,,,Twitter for Android
821,Tue Apr 09 00:12:42 +0000 2019,1115407151428710405,Meu twitter mais parado que cadeirante😐,😐(1),Não-PRU,,,Twitter for Android
822,Tue Apr 09 00:04:46 +0000 2019,1115405151630704642,"Só de pensar 💭 que o crush não tem Twitter, Facebook e Instagram, eu já fico pensando se este ser humano é homem pr… {URL}",💭(1),Não-PRU,,,Twitter for iPhone
823,Mon Apr 08 22:31:56 +0000 2019,1115381789567197185,"A {User} me deu mais internet mantendo o valor do meu plano 😍 Eu tenho Twitter, Facebook, Whatsapp, Instagra… {URL}",😍(1),Não-PRU,,,Twitter for Android
824,Mon Apr 08 16:24:36 +0000 2019,1115289350097571841,"Depois de alguns dias fora voltei pro Twitter, mais a raiva da eliminação ainda está em mim, aiai, se não for sofrido não é {User} 😢🙁",😢(1)🙁(1),Não-PRU,,,Twitter for iPhone
825,Mon Apr 08 14:20:07 +0000 2019,1115258021066805248,{User} Kkkkkkk o tombo eu tô sem twitter gente entrei aqui para ver as notícias tô atolada de trabalhos 🤧,🤧(1),Não-PRU,,,Twitter Web App
826,Mon Apr 08 13:30:31 +0000 2019,1115245539929489409,Twitter &gt; Face Sem mais🤷,🤷(1),Não-PRU,,,Twitter Web App
827,Mon Apr 08 07:45:46 +0000 2019,1115158781808316416,"{User} {User} Bom dia 😘 JB meu lindo, como está",😘(1),Não-PRU,,,Twitter for Android
828,Mon Apr 08 04:37:01 +0000 2019,1115111280493375489,Fui tentar trocar a senha do meu Twitter mais aí lembrei que não fui eu que fiz o meu Twitter 😒,😒(1),Não-PRU,,,Twitter for iPhone
829,Mon Apr 08 02:05:03 +0000 2019,1115073034421977088,Olga aí {User}  igual vc falando Aki no twitter mais cedo !!! 😂😂😂 {URL},😂(3),Não-PRU,,,Twitter for Android
830,Mon Apr 08 01:54:44 +0000 2019,1115070440391704576,Djabo mesmo não poder postar oque quer nesse Twitter mais 🙄🙄🙄,🙄(3),Não-PRU,,,Twitter for iPhone
831,Mon Apr 15 10:08:56 +0000 2019,1117731525074804736,"{User} Caro conterrâneo lampião,não venha ao Twitter mal tenha saído da porta mais famosa do país. 😏",😏(1),Não-PRU,,,Twitter for Android
832,Mon Apr 15 09:52:57 +0000 2019,1117727503928496128,Vou ter de evitar abrir o Twitter porque a malta não se cala com o raio da série e já mete impressão 😂,😂(1),Não-PRU,,,Twitter for Android
833,Mon Apr 15 04:00:48 +0000 2019,1117638880122015745,Gente tive que fazer outro Twitter Porque perdi a senha 😫🙄😤,😫(1)🙄(1)😤(1),Não-PRU,,,Twitter for Android
834,Mon Apr 15 02:25:18 +0000 2019,1117614847569666048,"{User} Esperando o botão ""haha""no twitter, porque tem algumas coisas que o ""❤"" não expressa nosso real se… {URL}",❤(1),PRU,Sugestão,Neutra,Twitter for Android
835,Mon Apr 15 02:21:05 +0000 2019,1117613786280734721,Fez outro twitter porque — Porquê algum filha da puta bloqueiou de sacanagem 😏 {URL},😏(1),Não-PRU,,,Twitter for Device not cataloged
836,Mon Apr 15 01:43:31 +0000 2019,1117604333607059456,"Oi amigos, fiz outro Twitter porque o anterior foi bloqueado 😑",😑(1),PRU,Crítica,Negativa,Twitter for iPhone
837,Mon Apr 15 01:08:29 +0000 2019,1117595515464634373,Twitter aqui um Tweet irrelevante que não será lido por ningúem e será ignorado por todos agora devido a Game of Thrones HAHAHAHHAHA 😂✌🏻,😂(1)✌(1),Não-PRU,,,Twitter for iPhone
838,Sun Apr 14 23:55:13 +0000 2019,1117577078411595783,Ok vou parar de me lamentar no Twitter mal eu 🤙🏻🤙🏻,🤙(2),Não-PRU,,,Twitter for iPhone
839,Sun Apr 14 23:45:53 +0000 2019,1117574728573759490,{User} Até evito falar muito de GOT aqui no Twitter porque Deus me livre atrair 😂,😂(1),Não-PRU,,,Twitter Web Client
840,Sun Apr 14 18:49:38 +0000 2019,1117500174971043841,"{User} De quem é esse twitter aqui em cima ☝️ tira um print e me manda, queria saber quem me bloqueou kkk",☝(1),Não-PRU,,,Twitter for Android
841,Sun Apr 14 16:48:56 +0000 2019,1117469800614322177,"Fiz um novo twitter porque o meu outro era muito antigo, e muitas contas inativas por lá. 😴",😴(1),Não-PRU,,,Twitter for iPhone
842,Sun Apr 14 14:05:06 +0000 2019,1117428568110325760,Obrigada Twitter aqui eu sei que tu nunca me esquece!!! 🎂🎉🎈 {URL},🎂(1)🎉(1)🎈(1),Não-PRU,,,Twitter for Android
843,Sun Apr 14 14:04:40 +0000 2019,1117428461403017217,"Só eu que percebi que o WhatsApp caiu depois das tags do Twitter, porque ninguém fala comigo!Triste realidade 😪#whatsappdown",😪(1),Não-PRU,,,Twitter for iPhone
844,Sun Apr 14 13:48:57 +0000 2019,1117424505553674240,"Depois de anos sem usar o Twitter, aqui estou de volta. 😁",😁(1),Não-PRU,,,Twitter for Android
845,Sun Apr 14 12:51:16 +0000 2019,1117409989642076161,{User} e o twitter aqui a bombar 💪🏻 {URL},💪(1),Não-PRU,,,Twitter for Android
846,Sun Apr 14 12:44:32 +0000 2019,1117408295436865537,Manda mensagem aqui no Twitter porque se não um gajo vai tediar!!😅,😅(1),Não-PRU,,,Twitter for Android
847,Sun Apr 14 12:43:18 +0000 2019,1117407984559239170,E cá estamos nós no Twitter porque os insta tá down😂😂,😂(2),PRU,Comparação,Negativa,Twitter for Android
848,Sun Apr 14 12:17:09 +0000 2019,1117401403213910017,Bom-dia só para os utilizadores do Twitter porque o instagram está em baixo! 💜 Que elenco senhores!!! {URL},💜(1),PRU,Comparação,Positiva,Twitter for iPhone
849,Sun Apr 14 11:30:40 +0000 2019,1117389705279094785,Agora bue de gente no Twitter porque insta bazou ahah 💨🤷🏽‍♂️,💨(1)🤷(1)♂(1),Não-PRU,,,Twitter for iPhone
850,Sun Apr 14 05:52:54 +0000 2019,1117304703300325376,"{User} Verdade kkk que tempos bom, bá 💜 lembro que teve uma vez que a # ficou em primeiro nos assuntos ma… {URL}",💜(1),Não-PRU,,,Twitter for Android
851,Sun Apr 14 05:17:40 +0000 2019,1117295838781423617,Depois que comecei a trabalhar nem tenho tempo de vir no Twitter porque os pedidos Não param🍤🍤🍤🍤🤗🤗🤗🤗,🍤(4)🤗(4),Não-PRU,,,Twitter for Android
852,Sun Apr 14 04:26:05 +0000 2019,1117282856366219264,"Tem gente que não tem que ter Twitter porque só fala bosta, aí somos obrigados a ver 🙄🤦🏻‍♀️",🙄(1)🤦(1)♀(1),Não-PRU,,,Twitter for iPhone
853,Sat Apr 13 22:38:08 +0000 2019,1117195290388332545,Será que as pessoas no Twitter tão vendo  #CBLoL ? 😂😂😂😂 {URL},😂(4),Não-PRU,,,Twitter Web Client
854,Sat Apr 13 21:20:29 +0000 2019,1117175748740173824,novo twitter porque perdi o antigo por ser burra e ter mudado a data de aniversário 😋,😋(1),Não-PRU,,,Twitter for iPhone
855,Sat Apr 13 20:04:24 +0000 2019,1117156600685449219,Seja quem for não vai mais acessar minha conta do twitter porque eu mudei de senha 😎,😎(1),Não-PRU,,,Twitter for Android
